sales_sk,sales_id,customer_sk,product_sk,store_sk,salesperson_sk,campaign_sk,sales_date,total_amount
895959,SALES_0895959,31035,45,76,1757,6,2024-04-27T02:36:25,1365.96
858829,SALES_0858829,4193,109,337,1583,42,2024-10-06T16:42:05,834.73
575348,SALES_0575348,57590,108,314,250,33,2024-11-10T02:58:26,1849.37
464017,SALES_0464017,46020,49,304,1292,40,2024-11-25T17:39:51,624.04
196830,SALES_0196830,79741,56,69,35,21,2024-09-08T03:28:49,1107.31
309024,SALES_0309024,83778,205,393,914,17,2024-06-25T06:45:41,3077.63
347382,SALES_0347382,8635,59,212,340,33,2024-11-10T02:24:49,943.16
310805,SALES_0310805,63154,89,227,698,13,2024-06-12T06:43:01,3210.24
837524,SALES_0837524,9427,43,371,875,6,2024-04-05T09:52:44,862.76
268241,SALES_0268241,57979,137,466,326,24,2024-06-05T03:43:35,4385.25
366138,SALES_0366138,9103,69,174,1477,12,2024-03-29T16:45:44,3490.26
449597,SALES_0449597,54912,30,30,813,50,2024-10-11T03:40:06,2803.18
586918,SALES_0586918,95024,151,101,1086,40,2024-11-16T04:44:26,2732.82
980754,SALES_0980754,62782,209,36,1091,35,2024-09-29T04:43:04,3806.92
51663,SALES_0051663,21191,160,426,718,43,2024-02-28T15:48:29,885.52
892874,SALES_0892874,29140,115,273,1189,43,2024-03-29T07:41:52,2935.13
576799,SALES_0576799,38967,30,150,1259,41,2024-09-08T00:09:07,1655.82
480867,SALES_0480867,74635,34,267,1507,30,2024-09-13T02:17:43,3708.41
550671,SALES_0550671,63340,52,209,1014,28,2024-10-05T14:51:40,3728.22
584292,SALES_0584292,26487,26,298,920,22,2024-03-26T17:33:56,4339.6
362132,SALES_0362132,93102,154,86,1020,8,2024-03-27T09:37:10,971.5
33320,SALES_0033320,35989,135,42,465,33,2024-11-09T12:39:17,2802.56
215538,SALES_0215538,51579,23,400,1680,16,2024-07-25T12:23:27,4080.14
126315,SALES_0126315,78244,105,418,12,25,2024-08-04T06:09:50,1456.11
460374,SALES_0460374,49910,117,276,1295,24,2024-09-15T01:44:37,694.7
489380,SALES_0489380,30706,190,372,1178,18,2024-08-14T17:16:50,4097.78
63225,SALES_0063225,60882,199,273,81,18,2024-07-15T02:20:08,1081.66
965340,SALES_0965340,95634,162,364,1854,34,2024-10-10T19:38:18,3636.92
779636,SALES_0779636,26414,6,295,1838,38,2024-11-17T19:00:21,4685.99
695826,SALES_0695826,24927,29,212,179,3,2024-03-24T15:21:27,3941.0
561881,SALES_0561881,27409,194,216,1357,5,2024-04-20T14:08:41,3453.95
279995,SALES_0279995,32087,99,193,802,40,2024-12-01T18:01:50,1691.27
876145,SALES_0876145,65139,115,253,1295,16,2024-07-28T16:32:51,4339.95
571750,SALES_0571750,44438,110,149,831,30,2024-09-23T06:47:32,626.59
435459,SALES_0435459,15639,8,154,1309,8,2024-03-14T13:58:48,1495.11
256148,SALES_0256148,44959,55,183,375,4,2024-02-11T07:18:29,1728.39
527944,SALES_0527944,14375,191,202,1777,43,2024-05-17T22:30:14,4169.41
330302,SALES_0330302,35846,171,440,1360,20,2024-09-25T05:19:07,1471.92
872560,SALES_0872560,71395,81,66,1078,28,2024-06-07T03:32:06,3249.18
69255,SALES_0069255,1256,28,318,1974,30,2024-08-14T00:08:49,4895.81
678876,SALES_0678876,92507,98,143,1881,41,2024-11-25T20:14:21,2259.11
275406,SALES_0275406,55785,185,487,1520,35,2024-10-11T05:18:47,937.0
943252,SALES_0943252,63445,28,456,1835,31,2024-10-19T01:10:37,2399.37
587306,SALES_0587306,28198,70,128,1847,44,2024-07-08T23:39:23,2934.7
889146,SALES_0889146,22960,74,258,1638,45,2024-10-31T06:11:05,1587.27
379067,SALES_0379067,88800,114,113,1562,1,2024-02-07T23:15:17,2481.76
115772,SALES_0115772,54426,64,464,1095,48,2024-05-18T20:29:21,4371.54
517432,SALES_0517432,36389,122,58,1675,38,2024-11-21T10:29:53,3018.0
265974,SALES_0265974,98024,89,453,904,8,2024-04-03T08:29:29,4971.54
675595,SALES_0675595,77165,200,118,1012,14,2024-07-22T23:37:35,3950.33
400808,SALES_0400808,89935,88,483,395,41,2024-10-26T11:31:49,3273.43
565511,SALES_0565511,94623,143,55,235,16,2024-07-06T14:30:41,4197.59
100076,SALES_0100076,60237,9,41,966,43,2024-03-03T21:13:04,3147.57
701083,SALES_0701083,8304,117,136,1793,4,2024-01-30T14:07:04,2187.1
103661,SALES_0103661,65955,87,443,1304,2,2024-02-04T07:38:25,1723.05
172272,SALES_0172272,3626,109,155,43,43,2024-07-03T00:19:27,4270.23
331228,SALES_0331228,38758,180,445,1336,42,2024-11-02T10:41:14,1346.45
259150,SALES_0259150,54173,129,248,1920,27,2024-09-12T04:35:02,4283.91
938627,SALES_0938627,32913,53,262,928,41,2024-12-01T20:36:19,1787.19
606358,SALES_0606358,40310,160,493,1498,1,2024-02-06T04:31:16,2525.09
990307,SALES_0990307,41101,36,63,1163,3,2024-03-06T22:18:25,1460.45
829830,SALES_0829830,76117,108,103,1756,14,2024-07-29T19:45:12,2184.58
875278,SALES_0875278,421,190,440,6,28,2024-03-20T05:19:26,1243.69
256730,SALES_0256730,77365,175,103,1323,48,2024-07-21T04:43:28,2813.38
246896,SALES_0246896,33720,91,64,133,41,2024-11-26T01:26:15,2234.62
40811,SALES_0040811,34579,134,263,323,49,2024-09-02T11:58:14,3647.14
314675,SALES_0314675,16884,93,231,1123,19,2024-09-22T05:50:57,4181.05
20474,SALES_0020474,84126,165,347,173,25,2024-08-25T11:01:52,4680.15
525061,SALES_0525061,41230,3,112,1212,10,2024-07-10T23:21:33,2106.73
582947,SALES_0582947,36559,184,161,158,8,2024-04-02T07:03:00,2100.21
881795,SALES_0881795,34519,95,326,502,32,2024-10-16T11:10:51,3523.37
974159,SALES_0974159,5639,16,453,722,22,2024-10-08T19:02:34,532.84
422759,SALES_0422759,13058,118,144,1758,41,2024-09-28T11:01:19,4871.44
673533,SALES_0673533,729,117,19,1868,13,2024-07-22T10:00:43,2235.84
826661,SALES_0826661,47870,71,181,901,10,2024-07-13T06:12:05,4417.07
733811,SALES_0733811,12394,118,200,1036,43,2024-03-15T13:53:15,4815.52
837316,SALES_0837316,4273,136,136,1636,49,2024-09-19T17:26:58,552.12
570267,SALES_0570267,22775,64,86,800,42,2024-10-20T11:17:43,1546.06
6299,SALES_0006299,39110,156,473,1730,44,2024-08-21T17:33:38,4486.6
996136,SALES_0996136,54455,56,275,400,11,2024-02-11T06:25:50,930.01
711525,SALES_0711525,17195,125,334,1307,36,2024-11-17T20:40:57,4480.5
959376,SALES_0959376,79653,61,225,139,16,2024-08-18T16:20:49,4914.51
55071,SALES_0055071,66491,88,226,1916,44,2024-10-12T00:20:29,1335.74
21220,SALES_0021220,89041,145,471,944,16,2024-05-09T21:48:54,2427.88
430194,SALES_0430194,42102,72,484,1450,44,2024-10-10T04:24:34,4848.35
992620,SALES_0992620,91522,44,321,638,12,2024-04-10T20:57:03,1538.07
123552,SALES_0123552,81880,146,187,1365,12,2024-05-08T03:45:22,1892.48
432317,SALES_0432317,85180,209,200,1049,39,2024-11-18T11:30:03,2472.39
274637,SALES_0274637,9884,163,5,597,18,2024-07-11T12:25:57,1910.05
115139,SALES_0115139,50235,181,418,1455,7,2024-03-12T06:44:53,3977.15
431447,SALES_0431447,14273,101,147,1326,16,2024-05-21T23:03:16,1202.71
92661,SALES_0092661,6208,137,67,1559,39,2024-11-25T19:56:28,2256.21
450103,SALES_0450103,24273,78,447,1614,25,2024-07-19T20:43:18,4717.9
348667,SALES_0348667,20885,192,389,1318,46,2024-11-12T22:29:05,4072.67
344475,SALES_0344475,9033,79,126,1641,28,2024-10-18T10:12:10,2399.58
483616,SALES_0483616,39768,60,428,1690,26,2024-07-22T06:32:15,4840.9
508946,SALES_0508946,90947,188,100,709,44,2024-09-14T03:04:15,2028.16
481189,SALES_0481189,38158,135,373,527,35,2024-11-16T02:05:16,3931.5
441452,SALES_0441452,15162,42,292,761,48,2024-12-20T18:48:32,911.8
531788,SALES_0531788,24973,173,110,1474,19,2024-08-25T23:25:20,736.87
556419,SALES_0556419,76490,107,254,525,35,2024-11-05T19:54:21,3135.24
973424,SALES_0973424,31041,125,336,1797,43,2024-08-27T12:08:24,4046.66
386543,SALES_0386543,26353,60,163,696,44,2024-09-21T15:46:12,1974.32
25769,SALES_0025769,73361,64,103,401,7,2024-03-19T10:45:56,2794.86
470129,SALES_0470129,11124,39,453,1352,5,2024-04-29T19:26:00,4523.49
931865,SALES_0931865,98435,5,389,1587,35,2024-11-13T18:59:19,4384.39
488470,SALES_0488470,86928,149,169,414,19,2024-08-29T12:32:24,1710.35
200615,SALES_0200615,69100,145,123,1203,10,2024-07-03T06:02:55,2627.55
694207,SALES_0694207,79838,17,431,1480,37,2024-09-28T08:04:17,3037.46
969440,SALES_0969440,38564,75,140,1987,47,2024-08-23T13:31:11,826.18
802842,SALES_0802842,23863,165,238,473,4,2024-02-24T12:09:57,1442.84
98606,SALES_0098606,3757,184,3,1319,21,2024-08-19T16:26:10,2941.4
303098,SALES_0303098,67990,142,493,142,16,2024-05-15T00:48:36,4016.17
765404,SALES_0765404,62448,209,356,1624,42,2024-09-13T15:09:20,2408.19
727933,SALES_0727933,19606,157,59,586,2,2024-02-21T20:50:56,1080.38
519049,SALES_0519049,69265,142,379,69,27,2024-09-27T14:08:57,4935.95
538357,SALES_0538357,81595,79,134,586,6,2024-05-09T07:57:59,4512.33
442080,SALES_0442080,79887,194,442,1794,12,2024-06-30T15:11:32,4859.01
421034,SALES_0421034,50864,153,43,428,18,2024-06-29T00:26:36,1024.08
185499,SALES_0185499,8305,38,123,1923,46,2024-08-17T13:37:07,3830.85
62037,SALES_0062037,93014,168,73,1437,4,2024-03-30T11:40:43,1616.52
26707,SALES_0026707,80007,103,430,1569,20,2024-09-30T20:46:47,4074.8
178229,SALES_0178229,83344,27,296,1805,38,2024-09-21T14:11:36,1222.3
265705,SALES_0265705,7840,67,201,1066,42,2024-11-19T15:41:22,931.58
198494,SALES_0198494,88886,126,155,8,12,2024-03-06T02:29:34,4504.57
373299,SALES_0373299,24234,129,276,192,43,2024-11-27T11:36:22,1258.79
836406,SALES_0836406,1820,123,28,1319,30,2024-10-14T02:38:54,2919.64
160614,SALES_0160614,79300,109,349,1531,34,2024-09-07T18:05:21,534.69
71973,SALES_0071973,5591,137,59,1610,38,2024-09-23T13:00:44,2764.04
803049,SALES_0803049,33760,11,116,143,44,2024-10-13T14:20:59,1140.0
45679,SALES_0045679,6956,155,158,694,49,2024-09-24T10:25:52,4554.4
599915,SALES_0599915,57371,71,489,1833,20,2024-09-28T11:58:02,2432.92
352278,SALES_0352278,55492,199,36,1354,6,2024-04-14T13:49:03,2453.16
458904,SALES_0458904,57172,76,76,1048,36,2024-11-20T08:13:52,4005.3
777380,SALES_0777380,907,20,410,143,18,2024-08-07T20:11:46,4074.54
841963,SALES_0841963,45403,143,292,884,39,2024-11-25T21:49:17,3930.27
488709,SALES_0488709,84674,80,401,872,13,2024-01-15T20:10:44,1551.73
360636,SALES_0360636,67521,172,214,672,17,2024-07-24T02:53:12,978.82
384369,SALES_0384369,32400,196,274,980,46,2024-07-30T22:47:27,2296.03
194703,SALES_0194703,76865,77,168,1366,17,2024-09-04T16:10:21,4454.78
186263,SALES_0186263,54610,82,302,1536,20,2024-09-26T02:06:26,4545.08
743972,SALES_0743972,46014,137,460,1261,50,2024-11-15T19:35:04,3432.89
768295,SALES_0768295,48102,85,357,1797,8,2024-04-22T00:27:57,862.48
394961,SALES_0394961,36013,154,436,84,2,2024-02-09T22:36:46,933.19
573358,SALES_0573358,44201,62,109,965,35,2024-10-25T21:27:06,4415.63
928830,SALES_0928830,89783,158,268,1260,45,2024-09-21T20:03:18,691.73
852652,SALES_0852652,40741,45,68,443,32,2024-10-22T23:35:04,3243.62
736363,SALES_0736363,61710,119,400,1168,26,2024-08-10T12:42:21,1882.62
723093,SALES_0723093,16908,96,315,568,7,2024-04-09T18:26:12,4369.74
496376,SALES_0496376,41191,29,439,1228,3,2024-03-08T14:27:32,693.93
189081,SALES_0189081,11093,57,343,1269,13,2024-05-17T03:22:04,3958.75
829339,SALES_0829339,49081,54,374,286,47,2024-10-11T18:51:04,1508.67
414039,SALES_0414039,81513,156,276,348,19,2024-09-19T13:22:31,3036.84
773850,SALES_0773850,61034,28,347,1574,5,2024-05-12T04:40:52,3694.99
199528,SALES_0199528,23743,84,488,992,36,2024-11-14T03:24:47,2012.73
532187,SALES_0532187,95902,31,203,796,6,2024-05-18T15:11:59,1296.14
920814,SALES_0920814,37734,166,362,1849,9,2024-06-11T03:13:34,4654.04
935026,SALES_0935026,98205,26,181,892,9,2024-06-19T17:22:56,3290.87
514450,SALES_0514450,89011,78,495,1727,33,2024-11-04T03:08:22,1360.95
941566,SALES_0941566,7404,131,197,278,37,2024-04-03T05:57:23,858.65
158993,SALES_0158993,21563,179,193,1483,5,2024-05-11T09:59:50,2971.21
995279,SALES_0995279,91528,158,266,978,7,2024-05-14T05:11:36,1798.37
607357,SALES_0607357,70049,18,341,871,29,2024-10-18T00:02:36,2489.73
567224,SALES_0567224,73121,110,459,1220,20,2024-09-28T05:07:02,4004.35
924645,SALES_0924645,3942,168,82,521,32,2024-10-28T08:10:12,4239.23
120647,SALES_0120647,32394,192,2,1223,18,2024-06-28T06:45:15,2743.52
98151,SALES_0098151,51408,197,115,219,32,2024-10-20T15:57:37,4261.76
740316,SALES_0740316,40649,31,167,1882,28,2024-07-29T20:22:04,1822.91
795487,SALES_0795487,19169,186,74,49,9,2024-06-20T16:10:00,3868.96
638309,SALES_0638309,31551,200,370,1171,28,2024-09-28T08:44:08,3514.03
859619,SALES_0859619,24619,154,60,732,41,2024-11-13T15:48:31,2952.01
30321,SALES_0030321,45092,81,140,680,26,2024-09-01T03:12:08,2623.49
622550,SALES_0622550,31509,161,122,1387,22,2024-05-30T12:31:37,4431.38
27964,SALES_0027964,74665,44,384,127,15,2024-08-11T19:27:13,1773.9
896188,SALES_0896188,27789,23,213,1267,16,2024-08-06T11:31:25,542.19
528533,SALES_0528533,1038,202,265,588,24,2024-08-28T16:54:40,2075.54
91198,SALES_0091198,6808,7,17,801,38,2024-10-21T14:25:14,2517.42
644428,SALES_0644428,43016,129,83,633,11,2024-04-15T08:11:19,1259.79
361513,SALES_0361513,66392,148,286,484,2,2024-02-16T05:50:19,852.8
705986,SALES_0705986,30663,138,51,853,20,2024-09-29T01:04:23,4489.65
735053,SALES_0735053,14224,116,78,147,1,2024-02-07T19:21:48,4962.71
15921,SALES_0015921,23595,131,256,1428,3,2024-02-24T20:35:19,2393.27
871824,SALES_0871824,57422,145,77,1433,44,2024-07-15T19:38:42,4437.68
346149,SALES_0346149,91951,198,27,31,35,2024-10-20T03:57:04,1877.23
597099,SALES_0597099,38162,127,416,305,40,2024-12-03T11:36:39,4072.93
306874,SALES_0306874,54206,128,75,392,35,2024-11-12T08:40:40,2010.78
909953,SALES_0909953,63189,164,104,960,2,2024-02-21T08:35:11,4030.84
950087,SALES_0950087,5295,157,15,123,38,2024-10-05T17:48:52,1833.82
759041,SALES_0759041,32441,174,408,1375,28,2024-04-13T23:03:09,2086.28
462526,SALES_0462526,35396,3,170,1321,13,2024-03-31T19:05:00,1726.54
662245,SALES_0662245,26156,48,223,1158,14,2024-08-03T14:26:26,1080.3
696213,SALES_0696213,35005,1,373,1867,21,2024-09-12T09:31:52,2678.26
141888,SALES_0141888,94766,185,447,1022,46,2024-10-13T23:49:41,1559.84
604825,SALES_0604825,32990,169,138,489,33,2024-11-09T22:04:14,540.76
584243,SALES_0584243,99243,129,143,1733,15,2024-07-26T11:35:03,4911.55
143249,SALES_0143249,68280,66,290,1219,20,2024-09-26T12:13:11,4692.1
455702,SALES_0455702,19884,62,447,1770,12,2024-04-08T16:49:24,4916.02
122339,SALES_0122339,4276,142,382,1592,43,2024-06-06T08:01:08,771.48
716009,SALES_0716009,96983,100,334,1581,40,2024-11-11T23:37:41,3058.61
653637,SALES_0653637,61660,9,5,1920,36,2024-10-24T00:44:11,3866.93
358748,SALES_0358748,68870,138,208,262,32,2024-10-14T23:35:55,777.94
974039,SALES_0974039,26615,67,306,900,26,2024-09-05T11:31:14,4250.91
321780,SALES_0321780,61823,131,168,163,49,2024-11-30T09:27:54,2949.98
540479,SALES_0540479,56311,38,437,996,7,2024-01-22T19:08:14,1801.85
751997,SALES_0751997,24649,138,418,1666,24,2024-06-16T21:04:40,1875.27
183569,SALES_0183569,2719,198,479,466,4,2024-02-12T07:24:23,3309.98
749754,SALES_0749754,39161,172,113,565,12,2024-03-21T05:43:41,1412.57
568229,SALES_0568229,12839,110,481,487,22,2024-03-24T00:23:34,1155.9
119620,SALES_0119620,56159,142,359,1355,4,2024-01-18T01:55:39,1973.03
861635,SALES_0861635,93633,148,140,616,40,2024-11-25T17:10:34,537.01
780382,SALES_0780382,35010,85,195,1514,42,2024-07-02T23:32:56,3591.11
252027,SALES_0252027,26429,96,30,664,18,2024-07-14T05:35:11,4891.84
394958,SALES_0394958,64373,84,100,1900,46,2024-12-09T06:25:22,1390.18
542973,SALES_0542973,52878,57,391,56,34,2024-11-03T05:03:59,1820.34
648862,SALES_0648862,75701,147,484,1347,25,2024-08-08T08:20:36,4460.62
298013,SALES_0298013,16580,137,8,276,31,2024-11-01T00:13:12,1198.81
285676,SALES_0285676,77948,137,20,1623,26,2024-10-22T10:45:34,2234.36
961339,SALES_0961339,42400,184,384,1299,40,2024-11-30T05:08:16,1682.39
432372,SALES_0432372,38628,148,331,1886,7,2024-03-08T01:55:54,2241.03
307799,SALES_0307799,94893,119,410,1239,44,2024-09-22T14:15:11,1700.09
373281,SALES_0373281,27991,145,379,1771,26,2024-09-07T15:12:12,4035.64
648369,SALES_0648369,71927,4,441,1248,26,2024-07-22T00:30:09,1325.29
49624,SALES_0049624,15439,62,98,16,22,2024-08-31T16:55:38,785.81
330567,SALES_0330567,27219,40,288,749,24,2024-08-25T21:59:02,738.54
580404,SALES_0580404,35400,108,482,1047,26,2024-06-25T21:15:06,1611.87
148485,SALES_0148485,45128,29,196,1529,7,2024-03-04T22:14:56,2221.27
696240,SALES_0696240,39845,19,398,1273,18,2024-08-30T11:09:29,2818.88
489114,SALES_0489114,40687,151,181,1292,31,2024-11-02T17:25:44,4931.26
964939,SALES_0964939,77022,21,367,1564,7,2024-02-04T00:57:21,2908.88
352952,SALES_0352952,23817,101,317,256,23,2024-06-13T13:24:59,576.0
214218,SALES_0214218,55231,128,194,1156,2,2024-02-08T16:33:04,2855.85
43275,SALES_0043275,5522,41,401,394,46,2024-11-06T10:21:05,4030.38
762640,SALES_0762640,4337,172,153,615,38,2024-09-19T01:39:43,2434.0
480990,SALES_0480990,99641,178,328,237,13,2024-01-31T08:18:20,597.8
125146,SALES_0125146,2302,9,287,1678,40,2024-12-02T04:15:48,2205.73
655617,SALES_0655617,2461,65,373,1603,38,2024-10-16T20:57:10,1960.19
522841,SALES_0522841,93116,169,351,153,18,2024-09-15T11:51:34,1654.7
696591,SALES_0696591,9285,37,375,1692,17,2024-07-17T05:57:19,869.82
113388,SALES_0113388,42765,87,383,1605,42,2024-09-16T10:16:37,2937.02
590300,SALES_0590300,22768,93,463,1333,14,2024-07-27T09:06:04,4139.47
696608,SALES_0696608,55239,147,262,1101,21,2024-09-12T16:14:18,3564.58
592288,SALES_0592288,58194,160,442,817,26,2024-09-29T05:11:22,3928.83
340742,SALES_0340742,20933,62,472,1559,1,2024-02-06T06:23:34,1205.52
184781,SALES_0184781,29147,204,116,395,35,2024-10-17T18:00:26,4907.37
723571,SALES_0723571,31007,125,297,610,37,2024-07-02T17:54:35,3728.94
698253,SALES_0698253,82104,147,132,1731,40,2024-12-04T07:27:33,2943.0
948561,SALES_0948561,23367,7,345,1905,12,2024-04-14T19:59:17,1661.88
487425,SALES_0487425,24067,24,178,1638,5,2024-04-17T19:13:39,2310.49
326076,SALES_0326076,68533,3,398,135,23,2024-07-04T21:26:44,3775.73
778660,SALES_0778660,37328,33,30,1371,31,2024-10-15T03:27:59,885.87
661040,SALES_0661040,16873,154,188,534,22,2024-05-03T06:57:24,1892.57
684661,SALES_0684661,22756,162,371,1945,11,2024-07-18T03:58:58,1445.4
13374,SALES_0013374,77108,54,28,74,24,2024-08-26T23:30:08,4288.35
995316,SALES_0995316,20579,1,192,153,34,2024-10-17T16:12:56,1808.8
259362,SALES_0259362,26587,48,333,1246,44,2024-09-03T17:36:32,3183.42
737971,SALES_0737971,13014,58,365,1635,8,2024-04-05T17:13:18,1339.89
708092,SALES_0708092,56178,154,334,407,8,2024-06-03T11:18:23,4628.77
490878,SALES_0490878,34573,102,161,1972,48,2024-09-04T16:46:00,2750.84
466440,SALES_0466440,50109,133,243,805,50,2024-12-04T06:27:51,1532.39
944952,SALES_0944952,17573,69,105,1230,20,2024-09-30T16:16:46,4325.69
719757,SALES_0719757,36324,79,375,1540,10,2024-06-08T00:23:15,1514.39
134217,SALES_0134217,80412,180,483,1349,12,2024-03-05T06:45:32,1289.58
145155,SALES_0145155,22173,22,436,1157,35,2024-11-13T06:53:29,1625.41
527357,SALES_0527357,51433,121,177,1583,50,2024-10-15T10:05:39,2704.45
